country_code,country_name,heat_index_2000,heat_index_2025,difference,percent_change,data_points
ETH,Ethiopia,89.90317772023083,91.04094274748304,1.1377650272522146,1.265544840687188,2406
TZA,"Tanzania, United Republic of",81.23786361376575,82.325850677563,1.087987063797243,1.3392610482347589,1522
KOR,"Korea, Republic of",86.96325197779058,88.04671665851158,1.0834646807210078,1.2458879539115124,562
VEN,"Venezuela, Bolivarian Republic of",85.17592789384113,86.24721747746462,1.071289583623482,1.2577374970997464,582
TCD,Chad,94.30621911943425,95.36206114012202,1.0558420206877912,1.119588963004252,2920
GUF,French Guiana,85.8352925974678,86.87680335053156,1.0415107530637613,1.213382888956898,232
FJI,Fiji,84.86526573666552,85.89536894848266,1.030103211817135,1.213810152923477,227
MDG,Madagascar,81.86064620158157,82.858208805947,0.9975626043654272,1.2186107130267854,457
CZE,Czechia,82.3473717096696,83.31366050713468,0.9662887974650828,1.1734300408177043,154
SOM,Somalia,88.06710260060508,89.01432564430911,0.947223043704028,1.0755696687329417,1605
BRN,Brunei Darussalam,89.943121408379,90.88873451418982,0.9456131058108213,1.0513456626853612,24
GUY,Guyana,85.15029931736855,86.05878035466807,0.9084810372995236,1.066914672740576,169
CIV,Côte d'Ivoire,86.43582077746468,87.30865960947254,0.872838832007858,1.0098114695469198,723
SUR,Suriname,85.47349378733249,86.34029743996824,0.8668036526357525,1.014119833211049,120
HUN,Hungary,85.0095155296416,85.87138679697179,0.8618712673301872,1.013852698677791,484
AUT,Austria,82.77834226601837,83.62652975750096,0.8481874914825909,1.024649042568207,135
SVK,Slovakia,83.5673103241221,84.38582101461205,0.8185106904899442,0.9794627675765666,333
USA,United States,86.48512419815388,87.2504478608535,0.7653236626996147,0.8849194237683149,5526
MNE,Montenegro,84.66984169121717,85.41082443798966,0.7409827467724881,0.8751436544251274,163
GHA,Ghana,88.84030951880425,89.54951015246183,0.7092006336575878,0.7982869910054466,675
KGZ,Kyrgyzstan,86.66451557659262,87.37038312371719,0.7058675471245692,0.8144827700568356,543
COL,Colombia,86.5283250672053,87.22540169905558,0.6970766318502797,0.8056051371719842,607
UGA,Uganda,82.9991829399136,83.6706658906457,0.6714829507320985,0.8090235673985029,462
YEM,Yemen,96.8810620411188,97.52191071729035,0.6408486761715722,0.6614798214119284,1395
COD,"Congo, The Democratic Republic of the",85.00477284013559,85.64321992597516,0.638447085839573,0.7510720451430062,6087
BRA,Brazil,84.38117580849054,84.88409534576076,0.5029195372702162,0.596009160161065,3973
KAZ,Kazakhstan,87.08763500281574,87.56548599026726,0.477850987451518,0.5487013023560324,9277
MWI,Malawi,80.72581323561147,81.20099528866444,0.4751820530529755,0.5886370592093996,314
DJI,Djibouti,100.6371777731894,101.03839428846152,0.4012165152721394,0.3986762388909388,169
MOZ,Mozambique,81.27599134343282,81.67113460603625,0.3951432626034261,0.4861746452697733,1545
ALB,Albania,86.0275717144492,86.39150460539283,0.3639328909436301,0.4230421522900011,206
SRB,Serbia,86.52781843800693,86.7029145102016,0.1750960721946626,0.2023581263869614,437
ZWE,Zimbabwe,80.16791657842842,80.33592512186496,0.1680085434365423,0.2095707991515275,667
GRC,Greece,86.74572491838771,86.88480063968318,0.1390757212954696,0.1603257352755022,1370
BWA,Botswana,79.37283098135914,79.48098783596454,0.1081568546053972,0.1362643278161492,800
RUS,Russian Federation,84.98560590182255,85.00990898083363,0.0243030790110765,0.0285967002919906,30764
ZAF,South Africa,80.14148183032908,80.07055498904238,-0.0709268412867061,-0.0885020337368709,738
NAM,Namibia,79.70002502288192,79.5851609407257,-0.1148640821562168,-0.1441205095271165,1403
ZMB,Zambia,80.72332529679571,80.41167795622836,-0.3116473405673474,-0.3860685116990816,1817
SSD,South Sudan,89.91969699379541,89.54156979738597,-0.3781271964094372,-0.4205165375896769,1934
